nid,title,SGA ACERVO IMAGEM,SGA ACERVO IMAGEM,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,descritores,,
3236,BO-BORORO-0163,006012,6012,263,413,471,,,,,, , , , , , , , ,,,,,,,,6012
3237,BO-BORORO-0164,006013,6013,20,62,413,471,,,,, , , , , , , , ,,,,,,,,6013
3238,BO-BORORO-0165,006014,6014,166,177,413,471,,,,, , , , , , , , ,,,,,,,,6014
3239,BO-BORORO-0166,006015,6015,242,413,471,,,,,, , , , , , , , ,,,,,,,,6015
3240,BO-BORORO-0167,006016,6016,62,172,413,471,,,,, , , , , , , , ,,,,,,,,6016
3241,BO-BORORO-0168,006017,6017,34,412,471,,,,,, , , , , , , , ,,,,,,,,6017
3242,BO-BORORO-0169,006018,6018,222,239,412,471,,,,, , , , , , , , ,,,,,,,,6018
3243,BO-BORORO-0170,006019,6019,222,239,412,471,,,,, , , , , , , , ,,,,,,,,6019
3244,BO-BORORO-0171,006020,6020,242,412,471,,,,,, , , , , , , , ,,,,,,,,6020
3245,BO-BORORO-0172,006021,6021,126,242,412,471,,,,, , , , , , , , ,,,,,,,,6021
3246,BO-BORORO-0173,011058,11058,471,413,101,,,,,, , , , , , , , ,,,,,,,,11058
3252,BR-BARÁ-0001,005249,5249,25,114,311,782,613,,,,,,,,,,,,,,,,,,,5249
3253,BR-BARÁ-0002,005250,5250,62,101,311,782,613,,,,,,,,,,,,,,,,,,,5250
3254,CH-CHACO-0001,006283,6283,172,196,746,,,,,,730,,,, , , , ,,,,,,,,6283
3255,CH-CHACO-0002,006284,6284,72,746,,,,,,,285,,,, , , , ,,,,,,,,6284
3256,CH-CHACO-0003,006285,6285,20,119,746,,,,,, , , , , , , , ,,,,,,,,6285
3257,CH-CHACO-0004,006286,6286,20,119,746,,,,,, , , , , , , , ,,,,,,,,6286
3258,CH-CHACO-0005,006287,6287,94,232,746,,,,,, , , , , , , , ,,,,,,,,6287
3259,CH-CHACO-0006,006288,6288,232,746,,,,,,, , , , , , , , ,,,,,,,,6288
