nid,title,SGA_ACERVO_VIDEO,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor,Descritor
507,MARIA DA MARÉ,1100,50,101,172,213,271,363,598,,,,,,,,,,,,,,,,
508,"VELHOS NA PROPAGANDA, OS",1101,159,217,283,305,,,,,,,,,,,,,,,,,,,
509,QUILOMBOS URBANOS,1102,67,153,186,187,305,363,,,,,,,,,,,,,,,,,
510,EM BUSCA DO PEQUENO PARAÍSO,1103,129,283,305,347,543,639,,,,,,,,,,,,,,,,,
511,CRIATURAS QUE NASCIAM EM SEGREDO,1104,56,73,270,305,,,,,,,,,,,,,,,,,,,
512,GETÚLIO VARGAS,1105,78,184,195,212,305,404,605,,,,,,,,,,,,,,,,
513,QUILOMBO,1106,87,117,186,215,305,386,443,,,,,,,,,,,,,,,,
514,JANE MORAITA (NOSSAS FESTAS),1107,72,120,161,239,323,486,,,,,,,,,,,,,,,,,
515,TAKING AIM,1108,36,120,416,530,668,,,,,,,,,,,,,,,,,,
516,CUBATÃO MEU AMOR,1109,50,149,672,712,,,,,,,,,,,,,,,,,,,
517,"DIVINA FESTA DO POVO, A",1110,72,221,427,674,712,,,,,,,,,,,,,,,,,,
518,"ÁRVORE DOS NOSSOS ANTEPASSADOS, A",1111,112,336,545,,,,,,,,,,,,,,,,,,,,
519,"TEMPOS DE PODER, OS",1112,120,199,223,296,485,507,,,,,,,,,,,,,,,,,
520,"REFLEXO DA VIDA, O",1113,283,347,543,,,,,,,,,,,,,,,,,,,,
521,CONTOS E CONTAS DA CORTE,1114,101,240,296,485,,,,,,,,,,,,,,,,,,,
522,"TÃO MONÓTONO, TÃO CALMO",1115,130,218,347,543,,,,,,,,,,,,,,,,,,,
523,QUANDO O CRIOULO DANÇA,1116,186,305,384,,,,,,,,,,,,,,,,,,,,
524,TIDJANE: AS VIAS DE ALLAH,1117,223,485,,,,,,,,,,,,,,,,,,,,,
525,MENINOS EU VI?,1118,48,305,370,,,,,,,,,,,,,,,,,,,,
526,ANTÔNIO DE TODOS OS SANTOS,1119,227,228,325,421,,,,,,,,,,,,,,,,,,,
527,SOMOS APENAS CORPOS,1120,56,161,324,512,,,,,,,,,,,,,,,,,,,
528,MULHERES DA AREIA,1121,172,262,266,270,,,,,,,,,,,,,,,,,,,
529,MIRANDELA KIRIRI,1122,120,305,513,,,,,,,,,,,,,,,,,,,,
530,MARGARET MEAD: PERFIL DE UMA AMIGA,1123,6,314,514,,,,,,,,,,,,,,,,,,,,
531,MOVIMENTOS,1124,120,177,314,,,,,,,,,,,,,,,,,,,,
532,BLUES,1125,314,372,384,,,,,,,,,,,,,,,,,,,,
533,"PEDREIROS, PINTORES E SERVENTES",1126,273,305,,,,,,,,,,,,,,,,,,,,,
534,PLACA NÃO FALA,1127,44,486,439,,,,,,,,,,,,,,,,,,,,
535,SÃO PAULO - SINFONIA E CACOFONIA,1128,36,50,,,,,,,,,,,,,,,,,,,,,
