Nº Tombo,Autor,Título,Periódico,Assunto,Editora,Data,Local,Edição,Suporte," Volume, Número ",Pági-nas,Observação,
AB0143,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras para 1966. Ciências Naturais ",,,FFCL-USP,1966,São Paulo - SP,,Guia,,156p.,Constam 3 exemplares,
AB0144,FFCL-USP,"Guia da Faculdade de Filosofia, Ciências e Letras para 1966. Ciências Físicas e Matemáticas ",,,FFCL-USP,1966,São Paulo - SP,,Guia,,169p.,Constam 2 exemplares,
AB0145,,,Teoria e Prática,,Difel,s.d.,São Paulo-SP,,Revista,n.2,183p.,,
AB0146,"MICELI, Sergio ",Intelectuais e classe dirigente no Brasil (1920-1945),,,Difel,1979,São Paulo-SP/ Rio de Janeiro-RJ,,Livro,,210p.,,
AB0147,Academia Paulistana de História,,Revista Academia Paulistana de História,,DAES,nov.-dez./1981,São Paulo - SP,,Revista,n.1,152p.,,
AB0148,Academia Paulistana de História,,Revista da Academia Paulistana de História,,,nov. - dez./1982,São Paulo - SP,,Revista ,n.2,257p.,,
AB0149,FFLCH-USP,, Revista Tempo Social,,FFLCH-USP,1990,São Paulo - SP,,Revista ,"n.1, v.2",195p.,,
AB0150,,"Centros de Documentação, Pesquisa e Informação no Estado de São Paulo. Na SBPC - 80, O Banco da Memória Nacional",,,Divisão do Arquivo do Estado de São Paulo ,1980,São Paulo - SP,,,,15p.,constam 2 exemplares,
AB0151,FFLCH-USP,Seminário Projeto Acadêmico da FFCLH,,,FFLCH-USP,1992,São Paulo - SP,,Projeto Acadêmico,,39p.,impresso e 4 cópias xerox/ Realizado em 25-27 mai.1992,
AB0152,"SCHWARCZ, Lilia R. Moritz",Os Institutos Históricos e Geográficos Brasileiros (1830 - 1930): os guardiães de nossa história oficial.,XIII Encontro Anual da ANPOCS,,,1989,Caxambu - MG,,Texto,,111p.,cop. xerox,
AB0153,UERJ,"Memória, História e Historiografia",XVI Simpósio Nacional de História - RJ,,UERJ,1991,Rio de Janeiro - RJ,,Anais,22-26,48p.,cop. xerox,
AB0154,UERJ,"Memória, História e Historiografia",XVI Simpósio Nacional de História - RJ,,UERJ,1991,Rio de Janeiro - RJ,,Anais,22-27,310p.,cop. xerox,
AB0155,"DEBES, Célio","O ""Memorial Político""de Rangel Pestana (1889) - Textos e Documentos",Revista de História,Rangel Pestana,FFLCH - USP,1977,São Paulo - SP,,Revista,n.2,23p.,Coleção Revista de História. Constam 2 exemplares,
AB0156,"ELIAS, Maria José",O caderno de assentos do Coronel Francisco Xavier da Costa Aguiar,Anais do Museu Paulista,,Museu Paulista,1966,São Paulo - SP,,Separata,t.20,p.179-352,,
AB0157,"HORCH, Rosemarie Ekira",Cartas dos Compadres de Belém e de Lisboa (Transcrição dos textos originais na íntegra). - Textos e documentos,Revista de História,,FFLCH-USP,1977,São Paulo - SP,,Revista,v.4,94p.,Coleção da Revista de História,
AB0158,"BAUAB, Maria Aparecida Rocha",Notas Bibliográficas sobre Antônio Caetano de Campos (1844-1891),Revista do Curso de Pedagogia,Antônio Caetano de Campos,FFCL,1974,São José do Rio Preto - SP,,Separata,n.7,p.36-54,,
AB0159,"MEHLMANN, João",História da Palestina nos tempos do novo testamento (I).,Revista de História,,FFCL-USP,1960,São Paulo-SP,,Separata,"ano 11, v.20, n.42",p.351-393,,
AB0160,"MEHLMANN, João",História da Palestina nos tempos do novo testamento (II),Revista de História,,FFCL-USP,1960,São Paulo-SP,,Separata,"ano 11, v.21, n.43",p.49-104,,
AB0161,"MEHLMANN, João",História da Palestina nos tempos do novo testamento (III).,Revista de História,,FFCL-USP,1961,São Paulo-SP,,Separata,n.44,p.337-368,,
AB0162,"MEHLMANN, João",História da Palestina nos tempos do novo testamento (IV).,Revista de História,,FFCL-USP,1961,São Paulo-SP,,Separata,n.46,p.303-344,,
AB0163,"STELLA, Jorge Bertolaso",A Bhagavad-Gita,Revista de História,,FFCL-USP,1970,São Paulo-SP,,Revista,n.32,128p.,,
AB0164,"ALVIM, Zuleika; PEIRÃO, Solange","Mappin, setenta anos",,,Ex-Libris,1985,São Paulo - SP,,Livro,,221p.,,
AB0165,"RABETTI, Maria de Lourdes",Ideologia na Imprensa: Nacionalismo (1889 - 1920). Relatório de Pesquisa apresentado ao orientador Prof. Dr. Carlos  Guilherme Mota,,,FFLCH-USP,1975,São Paulo - SP,,Relatório,,48 p.,"cópia xerox, constam dois exemplares",
AB0166,"CIRIBELLI, Marilda Corrêa",Planejamento Histórico-Cultural do Munícipio de Vassouras,,Vassouras - RJ,,1976,Vassouras - RJ,,Livro,,4p.,"Trabalho aprovado no Simpósio de História do Vale do Paraíba, 3.",
AB0167,"DEL FIORENTINO, Teresinha Aparecida",A produção e o consumo da prosa de ficção em São Paulo (1900-1922),Revista de História,,FFLCH - USP,1977,São Paulo - SP,,Separata ,n.112,499-515,,
AB0168,"MELO NETO, José Antonio Gonçalves de","Dois relatórios holandeses. Memória de Adriaen Verdonck, 20 de maio de 1960.  ",Textos e Documentos. Col. Revista de História.,,FFLCH-USP,1977,São Paulo-SP,,Revista,n.3,62p.,,
AB0169,"LEVI-MOREIRA, Silvia",Ideologia e atuação da Liga Nacionalista de SP (1917-1924)., Revista de História.,,FFLCH-USP,1984,São Paulo-SP,,Separata,"n.116, jan.-jun",p.67-74,,
AB0170,"MUKUNA, Kazadi Wa",Relatório Final de Exame de qualificação do Bacharel e Mestre em Etnomusicologia pelo Depto. de Música da University of California,,,,1976,Los Angeles-EUA,,Relatório,,25p.,,
AB0171,"MOISÉS, J. A","Classes populares, participação política e protesto urbano em Osasco e Pirituba. ",,,,1974,São Paulo-SP,,Relatório Parcial de Pesquisa à FAPESP,jan.-fev.,56p.,dat.xerox,
AB0172,"ANDRADE, Wilma Therezinha Fernandes de (org.)",Antologia Cubatense,,Cubatão,Prefeitura Municipal de Cubatão,1975,Cubatão - SP,,Livro,,309p.,,
AB0173,"BEAL, Tarcísio",As Raízes do Regalismo Brasileiro,Revista de História,,FFLCH - USP,1976,São Paulo - SP,,Separata,"ano27, v.54, n.108",p.321-340,,
AB0174,"RICCI, Maria Lúcia de Souza Rangel ",Ação e pensamento em Silva Jardim,Notícia Bibliogáfica e Histórica,,PUC - Campinas,1987,Campinas - SP,,Revista,"Ano XIX, n. 125",p. 1-108,,
AB0175,"SANTOS, Eloína Monteiro dos",A Rebelião de 1924 em Manaus,,,SUFRAMA/  Ed.Calderaro,1985,Manaus - AM,,Livro,,170p.,Constam 2 exemplares.,
AB0176,"SOUZA, Jonas Soares de",O conceito de Estado em Alberto Torres,Anais do Museu Paulista,,Museu Paulista-USP,1970,São Paulo - SP,,Anais,tomo XXIV,p.167-184,,
AB0177,"SOUZA, Jonas Soares de",Novas perspectivas metodológicas no campo das ciências históricas.,,,FFCL-Mogi das Cruzes,1973,Mogi das Cruzes-SP,,,,8p.,Debate com os alunos do Curso de Ciências e Estudos Sociais da FFCL de Mogi das Cruzes. Dat. cop.,
AB0178,"STEINBERG, Mariza Bálsamo",Recolonização do Neguev,Revista de História,,FFCL-USP,1967,São Paulo-SP,,Separata,n.72,p.539-558,,
AB0179,"VENTURA, Roberto",A polêmica de José de Alencar e Joaquim Nabuco,,,,s.d.,s.l.,,Livro,,44p.,"dat., xerox",
AB0180,"CASALECCHI, J. E.; TELAROLLI, R. (org.) ",Movimentos Sociais,Anais. Encontro regional de História de São Paulo.,,ANPUH/ UNESP,1980,Araraquara - SP,,Anais,n.4,,,
AB0181,"VALENTE, José Augusto Vaz","Língua, instrumento de colonização",Revista de História,,FFLC - USP,1967,São Paulo - SP,,Separata,"vol. XXXV, n. 71",p.85-104,,
AB0182,Biblioteca Mário de Andrade,,Revista da Biblioteca Mário de Andrade,,Secretaria Municipal de Cultura,jan.-dez./1992,São Paulo - SP,,Revista,v.50,155p.,Edição Comemorativa dos 50 anos,
AB0183,"LEITE, Miriam L. Moreira",História e fotografia. ,Vozes Cultura,,,1992,São Paulo-SP,,Revista,"n.3, ano 86, v. 86, mai./jun/",p.43-52,,
AB0184,"COSTA, Ana Maria Castelli Infantosi da ",A Educação para trabalhadores no Estado de São Paulo (1889-1930,Revista do Instituto de Estudos Brasileiros,Educação,IEB-USP,1982,São Paulo - SP,,Revista,n.24,p.3-10,,
AB0185,"PENTEADO, Silvia Angela Teixeira",Participação na Universidade. Retrato em preto e branco,,,Pioneira,1991,São Paulo - SP,,Livro,,129 p.,,
AB0186,"CAMARGO, Mônica Junqueira de; MENDES, Ricardo",Fotografia. Cultura e Fotografia no século XX,,Fotografia,Secretaria Municipal de Cultura,1992,São Paulo - SP,,Livro,,,,
AB0187,,,Grandes aconteci-mentos da História,,Três,s.d.,São Paulo - SP,,Revista,n.27,98p.,,
AB0188,"SOUZA, Laura de Mello e",As devassas eclesiásticas da Arquidiocese de Mariana. ,Anais do Museu Paulista,,Museu Paulista-USP,1984,São Paulo-SP,,Separata,tomo XXXIII,p.65-73,,
AB0189,"SIQUEIRA, Sonia A. ",A Ilustração no Brasil: Azeredo Coutinho e o Seminário de Olinda,,,IEB - Universidade de Taubaté,1978,Taubaté - SP,,Livro,n.1,142p.,Coleção Estudos,
AB0190,,,América Latina - Cadernos,América Latina,,1982,São Carlos - SP,,Revista ,n.1,85p.,,
AB0191,,"Amanhã. Edição Semanal do Grêmio da Faculdade de Filosofia, Ciências e Letras da Universidade de São Paulo",,,,1967,São Paulo - SP,,Jornal,"n.2, 3, 4.",,cop. xerox.,
AB0192,"KHOURY, Yara Ahun (coord.)",Igreja e movimentos sociais,,,Com arte/PUC-CEDIC,1991,São Paulo-SP,,Guia de Pesquisa,,193p.,,
AB0193,"KHOURY, Yara Ahun (coord.)","Fundo juventude operária católica. Inventário, memória, documentação e pesquisa.",,,PUC-CEDIC,1991,São Paulo-SP,,Inventário,,157p.,,
AB0194,,"Convite de Formatura da Faculdade de Medicina, turma de 1981",,,,1981,[São Paulo - SP],,Convite,,,,
AB0195,Centro Acadêmico de Estudos Literários,Dependência e Independência da Criação Literária,,Departa-mento de Cursos do Grêmio da Faculdade de Filosofia - USP,Depto. de Cursos do Grêmio da FFCL-USP,s.d.,São Paulo - SP,,Livro,,291p.,Coletânea,
AB0196,Centro de Memória Regional,Catálogo da Coleção de Periódicos,,,Centro de Memória Regional Universida-de São Francisco,1992,Bragança Paulista - SP,,Catálogo,,52p.,,
AB0197,"OLIVEIRA, Ronaldo de (coord.)",ABC RAP. Coletânea de poesia rap,,Música popular,SECE: Prefeitura de São Bernardo do Campo,1992,São Bernardo do Campo - SP,1,Livro,,148p.,,
AB0198,GIPEM do Grande ABC,Levantamento bibliográfico da memória do Grande ABC.,,,"Secretaria de Educação, Cultura e Esportes. Depto. de Cultura",1990,São Paulo - SP,,Livro,,104p.,"Pesquisa: Gipem, compilação e texto: DBDI",
AB0199,,Memória da cidade de São Bernardo do Campo,,,"Secretaria de Educação, Cultura e Esportes - PMSBC",s.d.,São Bernardo do Campo - SP,,[Folheto],,14p.,,
AB0200,"MACEDO, Toninho","Billings, Viva",,,Prefeitura do Município de São Bernardo do Campo,1992,São Bernardo do Campo - SP,,Livro,,103p.,,
AB0201,"SANTOS, Wanderley dos",Antecedentes Históricos do ABC Paulista: 1550 - 1892,,,SECE,1992,São Bernardo do Campo - SP,,Livro,,284p.,,
AB0202,"MAZZO, Armando",Memórias de um militante político e sindical no ABC,,,SECE,1991,São Bernardo do Campo - SP,,Livro,,148p.,,
AB0203,"MEDICI, Ademir; PINHEIRO, Suely",1o. de maio e os principais momentos da luta sindical em São Bernard: 1902-1990,,,SECE,1990,São Bernardo do Campo - SP,,Livro,,91p.,,
AB0204,"MAIA, Newton Freire","Prof. Mauricio Rocha e Silva, cientista e humanista",Revista Ciência e Cultura,,,1984,São Paulo - SP,,Revista,36(6),p.1018-1019,,
AB0205,"CÂNDIDO, Antonio",A Faculdade de Filosofia no centenário da Abolição,Revista Novos Estudos CEBRAP,,,nov-92,[São Paulo - SP],,Revista,n.34,p.21-30,,
AB0206,"PINTO DE SOUZA, R.",O Fundo Monetário Internacional,,,Revista dos Tribunais,1945,São Paulo - SP,,Livro,,155p.,Dissertação para concurso de livre-docente em Economia Política na Faculdade de Direito - USP,
AB0207,FFLCH-USP,Disciplinas oferecidas para o 2o. Semestre de 1991/Pós-Graduação,,,FFLCH-USP,1991,São Paulo - SP,,[Programa],,26p.,,
AB0208,"BRANDÃO, Adelino",Amadeu Amaral e o Folclore Brasileiro,,,Biblioteca Nacional,1977,Rio de Janeiro - RJ,,Livro,,190p.,,
AB0209,"CARVALHO, Laerte Ramos de ",A Formação Filosófica de Farias Brito,,Farias Brito,Saraiva/ Edusp,1977,São Paulo - SP,,Livro,,208p.,,
AB0210,"CIRIBELLI, Marilda Corrêa",Tito Lívio e a Crítica Histórica Moderna,Boletim n.24. Depto. de História n.12. Curso de História Antiga n.3,,FFLCH - USP,1978,São Paulo - SP,,Boletim,,361,Constam 2 exemplares,
AB0211,,Sérgio Buarque de Holanda: vida e obra,,"Holanda, Sérgio Buarque de. 1902-1982",Arquivo do Estado - Secretaria de Estado e Cultura/ IEB-USP,1988,São Paulo - SP,,Livro,,158p.,,
AB0212,"FISCHMANN, Roseli",,Estudos e Documentos,,Fac. de Educação,1988,São Paulo - SP,,Livro,v.29,218p. ,Estrutura administrativa da Secretaria Municipal de Educação da Prefeitura de São Paulo,
AB0213,"FRAZÃO, Euza Rossi de Aguiar",O Donatismo e os Circunceliões na obra de Santo Agostinho ,,,FFLCH - USP,1976,São Paulo - SP,,Boletim,n.5,253p.,Nova Série Depto. de História Antiga,
AB0214,"LANG, Alice Beatriz da Silva Gordo","Aspirações à Educação, à ocupação e ao êxito social.",,,CERU/FFLCH-USP,1984,São Paulo-SP,,Livro,n.7,137p.,Coleção Textos,
AB0215,"LUNA, Francisco Vidal; COSTA, Iraci del Nero",Vila Rica: nota sobre casamentos de escravos (1727-1826). ,Africa: Revista do Centro de Estudos Africanos da USP,,FFLCH-USP,1981,São Paulo - SP,,Separata,n.4,p.1-7,,
AB0216,"MACHADO, Maria Cristina Russi da Matta",Aspectos do fenômeno do Cangaço no nordeste brasileiro. ,Coleção da Revista de História,,Liv.,1974,São Paulo - SP,,Revista,n.59,170p.,,
AB0217,"MEYER, Marlize",La convention dans le Theatre d'Amour de Marivaux. ,Boletim da Cadeira de Língua e Literatura Francesa,,FFCL-USP,1961,São Paulo-SP,,Boletim,n.4,195p.,Tese de Doutorado-DLM-USP,
AB0218,"MOLINA, Olga",Avaliação da inteligibilidade de livros didáticos de 1o. e 2o. Graus por meio da Técnica Cloze. ,Coleção Estudos e Documentos,,Instituto de Psicologia-USP,1984,São Paulo-SP,,Revista,v.23,185p.,Tese de Doutorado-Instituto de Psicologia/USP-1979,
AB0219,"MONTEIRO, Carlos Augusto de Figueiredo",Teoria e clima urbano. ,Série Teses e Monografias,,IGEOG-USP,1976,São Paulo-SP,,Revista,n.25,181p.,Tese de Livre-Docência,
AB0220,"NOZOE, Nelson Hideiki",São Paulo: economia cafeeira e urbanização. Estudo da estrutura tributária e das atividades econômicas na capital paulista (1889-1933).,,,PNPE,1984,São Paulo-SP,,Livro,,243p.,Tese de Doutorado-Fac. Economia e Adm.-USP,
AB0221,"SANTOS, Lycurgo de Castro",Duas Palavras sobre a filosofia positiva e i espiritualismo,Notícia Bibliogáfica e Histórica,,PUC - Campinas,jan.-mar./ 1989,Campinas - SP,,Revista,"Ano XXI, n. 133",88p.,,
AB0222,"PICCOLLO, Helga Iracema Landgraf",A colonização alemã em Nova Petrópolis. Apontamentos para a História do Município.,Revista do Instituto de Filosofia e Ciências Humanas da UFRS,,,1973,Rio Grande do Sul,,Separata,"Ano I, n.1 I Parte",p. 41-69,"II Parte. In: RIFFCH - UFRS, Ano II, n.2, p. 145-184, 1974",
AB0223,"PICCOLLO, Helga Iracema Landgraf",A colonização alemã em Nova Petrópolis. Apontamentos para a História do Município.,Revista do Instituto de Filosofia e Ciências Humanas da UFRS,,,1975,Rio Grande do Sul,,Revista,"Ano III, n.3",p. 333-372,Final,
AB0224,"PICCOLLO, Helga Iracema Landgraf",O Parlamento nacional e a revolução Farroupilha,Estudos Leopoldenses,,,1985,Rio Grande do Sul,,Revista,"Ano XXI, n.88",p.3 -155,,
AB0225,"PINHO, Carlos Marques",A macropolítica econômica e os sindiatos operários,Revista de História,,,1975,São Paulo - SP,,Revista,Ano LXII,134 p.,Constam dois exemplares,
AB0226,,,Anuário do Instituto Rio Branco,,Instituto Rio Branco/ Ministério das Relações Exteriores,1987,Brasília - DF,,Anuário,,259p.,,
AB0227,"PINHO, Diva Benevides",A atividade econômica cooperativista,Revista de História,,,1976,São Paulo - SP,,Revista,Ano LXVII,62p.,,
AB0228,"VALLA, Victor",Os Estados Unidos e a influência estrangeira na economia brasileira: um período de transiçào (1904 - 1928),Coleção de Revista de História,,FFLCH - USP,1972,São Paulo - SP,,Revista,XL,101p.,Mestrado defendido no Depto de História (FFLCH - USP) em 1969.,
AB0229,,,Revista do Instituto de Estudos Brasileiros,,IEB-USP,1992,São Paulo - SP,,Revista,n.33,209p.,,
AB0230,"SCHAFFER, M. Lucia Garcia Pallares",Anísio Teixeira. Formação e Primeiras realizações,Estudos e Documentos,,Faculdade de Educação-USP,1988,São Paulo - SP,,Revista,vol.28,112p.,Mestrado,
AB0231,"TEIXEIRA, M. Cecília Sanchez",Política e administração de pessoal docente. Um estudo sobre a Secretaria de Estado da Educação do Estado de SP,Estudos e Documentos,,Faculdade de Educação-USP,1988,São Paulo-SP,,Revista,v.27,274p.,Dissertação de Mestrado,
AB0232,"TREVISAN, Amélia Franzolin","Casa Branca, a povoação dos ilhéus",Coleção Monografias,,Arquivo do Estado,1982,São Paulo-SP,,Dissertação,n.4,156p.,"Dissertação de Mestrado em História. Prêmio de História Clio, 1980",
AB0233,"LAVRADIO, Marquês do",Carta da Bahia 1768-1769. , Série de Publicações,,Arquivo Nacional,1972,Rio de Janeiro - RJ,,Revista,n.68,294p.,,
AB0234,,,"Ciências & Letras. Revista da Faculdade Porto-Alegrense de Educação, Ciências e Letras - FAPA",,,1992,Porto Alegre - RS,,Revista,n.12,104p.,,
AB0235,"REIS, José",Depoimento - O caminho de um divulgador,Ciência e Cultura,,SBPC,1982,São Paulo - SP,,Revista,"n.6, v.34",p. 800-816,,
AB0236,,,Estudos Avançados,Dossiê Rio 92; Amazônia: tempos e espaços; Ecos da Eco; Reforma Universitária,,mai.-jun./1992,São Paulo - SP,,Revista,"v.6, n.15",237p.,,
AB0237,"RAMOS, Cristiane",Serviço de Microfilmagem do CAPH: recuperação de informação,,CAPH- Microfilmes,Faculdade de Biblioteconomia e Documentação,1992,São Paulo - SP,,Papel,,,Coordenado por Maria Antonieta Ferraz. Trabalho de conclusão de curso.,
AB0238,,,Boletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jan.-jun./1989,Campinas - SP,,Boletim,"v.1, n.1",,,
AB0239,,,Boletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jul.-dez./1989,Campinas - SP,,Boletim,"v.1, n.2",,,
AB0240,,,oletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jan./jun./1990,Campinas - SP,,Boletim,"v.2, n.3",,,
AB0241,,,oletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jul.- dez/1990,Campinas - SP,,Boletim,"v.2, n.4",80p.,,
AB0242,,,oletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jan.-dez./1991,Campinas - SP,,Boletim,"v.3, n.5",65p.,,
AB0243,,,oletim do Centro de Memória (Unicamp),,Centro de Memória - Unicamp,jul.- dez/1991,Campinas - SP,,Boletim,"v.3, n.6",78p.,,
AB0244,,,Revista de História. Índice dos n. 1 - 40 (1950-1960),,FFLCH - USP,1974,São Paulo - SP,,Revista,,345p.,reimpressão do volume de 1966 elaborado pelo Prof. e. Simões de Paula,
AB0245,Instituto de Geografia,Catálogo de Publicações,,,USP,1986,São Paulo-SP,,Catálogo,,50p.,,
AB0246,,,Revista da Faculdade de Educação,,FE-USP,jan.-jun./1992,São Paulo - SP,,Revista,"v.18, n.1",153p.,,
AB0247,,,Revista de História (Nova Série),,FFCL-USP,jan.-jul. 1990,São Paulo - SP,,Revista,n.122,,,
AB0248,"ROJAS, Carlos Antonio Aguirre","Fernand Braudel y la ""invención""de América",Revista La jornada semanal,A obra de Fernand Braudel ,,28/10/1990,[México],,Revista,,p.38-40,cop. xerox,
AB0249,"ROJAS, Carlos Antonio Aguirre",Los Annales em la encrucijada,Revista La Jornada Semanal,A obra de Fernand Braudel ,,20/12/1992,[México],,Revista,,p.41-45,,
AB0250,"ROJAS, Carlos Antonio Aguirre","De Annales, marxismo y otras historias. Uma perspectiva comparativa desde la larga duración.",Secuencia. Revista de História y Ciencias Sociais,A obra de Fernand Braudel ,Instituto Mora. Nueva Época,jan.-abr./ 1991,[México],,Revista,n.19,p.87-108,,
AB0251,"ROJAS, Carlos Antonio Aguirre","Between Marx and Braudel. Making History, Knowing History",Review. Fernand Braudel Center,A obra de Fernand Braudel ,,1992,,,Revista,"v.15, n.2",p.175-219,,
AB0252,"ROJAS, Carlos Antonio Aguirre et alii",Dimensiones y alcances de la obra de Fernand Braudel,Revista Primeiras Jornadas Braudelianas ,A obra de Fernand Braudel ,,1993,México,,Revista,,p.10-34,,
AB0253,,,Revista La Jornada Semanal,Fernand Braudel,,23/08/92,México - DF,,Revista,n.167,,,
AB0254,,"Bohm, Eistein e a ciência no Brasil",Revista Ciência Hoje ,David Bohm,,mai-93,Rio de Janeiro - RJ,,Revista,"v.15, n.90",p.44-47,,
AB0255,"MARTINIERE, Guy",Principales orientation des recherches realisées em France sur le Brésil dans le domaine des Sciences Sociales (1960-1980),,,Université des Sciences Sociales de Grenoble,1980,França,,Livro,,49p.,dat.xerox,
AB0256,FFLCH-USP,,Informe. Informativo da FFLCH-USP,,FFLCH-USP,1999 a 2001,São Paulo - SP,,Informativo,"n.2, 3, 5, 7, 11 a 25",,Nova Série,
AB0256,FFLCH-USP,,Informe. Informativo da FFLCH-USP,,FFLCH-USP,2001 a 2002,São Paulo - SP,,Informativo,n.26 a 35,,Nova Série,
AB0256,FFLCH-USP,,Informe. Informativo da FFLCH-USP. ,,FFLCH-USP,1992-1997,São Paulo - SP,,Informativo,,,41 exemplares,
